T(K),Cp_Thiswork
200.0,29.106944197403323
201.0,29.107025239648664
202.0,29.107106847349872
203.0,29.107189130666704
204.0,29.107272231113065
205.0,29.10735624958611
206.0,29.10744131824776
207.0,29.10752755956901
208.0,29.10761509665174
209.0,29.107704043543706
210.0,29.107794544289305
211.0,29.10788670477117
212.0,29.107980660778523
213.0,29.108076539212313
214.0,29.108174458537672
215.0,29.108274566159736
216.0,29.108376973169243
217.0,29.10848181950456
218.0,29.108589236801652
219.0,29.108699348804215
220.0,29.108812307200616
221.0,29.108928229034674
222.0,29.109047259199073
223.0,29.109169534794084
224.0,29.10929519408255
225.0,29.10942436798863
226.0,29.109557214260967
227.0,29.10969385777907
228.0,29.109834441815686
229.0,29.109979127416718
230.0,29.110128043554962
231.0,29.110281353545787
232.0,29.110439189128883
233.0,29.110601699850136
234.0,29.110769052495442
235.0,29.110941382972083
236.0,29.111118852530993
237.0,29.11130161566512
238.0,29.111489828146592
239.0,29.11168363929329
240.0,29.11188321524815
241.0,29.112088715590062
242.0,29.112300301154004
243.0,29.112518134021695
244.0,29.11274237000596
245.0,29.1129731812362
246.0,29.113210733460882
247.0,29.113455186239882
248.0,29.113706715156738
249.0,29.113965489493683
250.0,29.114231679676514
251.0,29.1145054500153
252.0,29.11478698767486
253.0,29.115076444766103
254.0,29.115374017695206
255.0,29.115679867962918
256.0,29.115994179568467
257.0,29.116317130318393
258.0,29.116648898973377
259.0,29.116989658214216
260.0,29.117339588696176
261.0,29.117698885851983
262.0,29.11806771802033
263.0,29.118446275264933
264.0,29.118834741438718
265.0,29.119233294253508
266.0,29.119642125916474
267.0,29.12006141554135
268.0,29.120491363426666
269.0,29.120932136266546
270.0,29.12138394229943
271.0,29.121846956171268
272.0,29.12232137345018
273.0,29.122807376560928
274.0,29.123305161898912
275.0,29.123814919435404
276.0,29.12433683271839
277.0,29.124871099098854
278.0,29.125417909411205
279.0,29.12597744795611
280.0,29.126549905946433
281.0,29.127135481454008
282.0,29.127734365890625
283.0,29.128346743967008
284.0,29.12897281387444
285.0,29.129612760271456
286.0,29.130266781223604
287.0,29.13093506792713
288.0,29.13161780463939
289.0,29.132315182151153
290.0,29.133027397783074
291.0,29.133754634997075
292.0,29.13449709049434
293.0,29.135254953816847
294.0,29.136028407244396
295.0,29.136817639386962
296.0,29.137622845214985
297.0,29.13844420543536
298.0,29.139281907000083
299.0,29.140136143154276
300.0,29.141007099599523
301.0,29.141894947380294
302.0,29.142799891583223
303.0,29.143722094659296
304.0,29.14466175315842
305.0,29.145619041740744
306.0,29.146594148246045
307.0,29.14758724541487
308.0,29.148598512039836
309.0,29.14962812588142
310.0,29.150676270853353
311.0,29.15174311538398
312.0,29.152828833917926
313.0,29.153933607046305
314.0,29.155057592205125
315.0,29.156200974885117
316.0,29.157363924718645
317.0,29.15854659507001
318.0,29.159749167707027
319.0,29.16097179309839
320.0,29.16221465037301
321.0,29.163477894613564
322.0,29.164761686941517
323.0,29.16606619470631
324.0,29.16739156054757
325.0,29.168737948657995
326.0,29.170105521822514
327.0,29.17149441759891
328.0,29.172904803427095
329.0,29.174336821365973
330.0,29.175790611560032
331.0,29.17726633663961
332.0,29.17876412511166
333.0,29.180284136285607
334.0,29.18182649486002
335.0,29.183391348364218
336.0,29.184978842709814
337.0,29.186589096698775
338.0,29.188222252420164
339.0,29.189878441677692
340.0,29.191557785662855
341.0,29.193260429596066
342.0,29.194986482003774
343.0,29.196736075534105
344.0,29.198509332152753
345.0,29.20030636279464
346.0,29.202127303332816
347.0,29.203972251538296
348.0,29.205841321005384
349.0,29.20773464184157
350.0,29.209652305169733
351.0,29.211594418314988
352.0,29.213561096006366
353.0,29.215552441557293
354.0,29.217568546481047
355.0,29.2196095193397
356.0,29.221675457030614
357.0,29.22376643448313
358.0,29.225882573758902
359.0,29.22802393530541
360.0,29.230190637320458
361.0,29.232382735406993
362.0,29.23460033357173
363.0,29.23684351349757
364.0,29.23911233370166
365.0,29.241406892114448
366.0,29.24372726383649
367.0,29.24607350027329
368.0,29.248445693276015
369.0,29.25084390042209
370.0,29.253268198767397
371.0,29.25571863020236
372.0,29.25819527849402
373.0,29.260698180771147
374.0,29.263227416777134
375.0,29.265783030365704
376.0,29.268365074404365
377.0,29.27097359957692
378.0,29.273608654387623
379.0,29.276270285166834
380.0,29.27895853607602
381.0,29.281673449114564
382.0,29.284415064125398
383.0,29.287183418803096
384.0,29.28997853633378
385.0,29.292800474767926
386.0,29.295649240563478
387.0,29.298524875262068
388.0,29.301427405931456
389.0,29.304356844660298
390.0,29.307313227001735
391.0,29.31029657375836
392.0,29.313306903665598
393.0,29.31634422009708
394.0,29.319408537364957
395.0,29.322499894787462
396.0,29.325618262377645
397.0,29.328763689268513
398.0,29.331936140812495
399.0,29.33513564885626
400.0,29.338362216017096
401.0,29.341615828772277
402.0,29.344896485503487
403.0,29.348204197068686
404.0,29.35153894381901
405.0,29.35490071838597
406.0,29.358289526262876
407.0,29.361705326935947
408.0,29.365148137033266
409.0,29.36861792697765
410.0,29.372114695326612
411.0,29.375638393308222
412.0,29.379189015758044
413.0,29.382766540637384
414.0,29.38637095982776
415.0,29.390002216536743
416.0,29.393660299052137
417.0,29.39734517838518
418.0,29.401056823851633
419.0,29.404795203088042
420.0,29.408560282069843
421.0,29.412352008605477
422.0,29.41617037832014
423.0,29.420015319141243
424.0,29.42388679020211
425.0,29.427784766069472
426.0,29.431709203108873
427.0,29.435660056146094
428.0,29.43963726110387
429.0,29.443640769408617
430.0,29.44767054862671
431.0,29.451726547598568
432.0,29.45580869583425
433.0,29.45991693891334
434.0,29.464051239126583
435.0,29.46821152135771
436.0,29.472397726987523
437.0,29.476609814538953
438.0,29.480847704427724
439.0,29.485111315234715
440.0,29.489400639272397
441.0,29.49371555499631
442.0,29.498056014628702
443.0,29.502421969643855
444.0,29.50681331259232
445.0,29.511230011883647
446.0,29.515671957129392
447.0,29.520139095074466
448.0,29.524631351896694
449.0,29.529148652619504
450.0,29.533690921130944
451.0,29.538258080200308
452.0,29.542850031067182
453.0,29.547466714483512
454.0,29.552108049964456
455.0,29.55677393515715
456.0,29.561464308049068
457.0,29.566179085051893
458.0,29.57091816037164
459.0,29.575681469381585
460.0,29.580468904074344
461.0,29.585280376567145
462.0,29.590115819768158
463.0,29.594975122472576
464.0,29.599858216027194
465.0,29.604764965057402
466.0,29.60969534351632
467.0,29.614649191793664
468.0,29.619626437910128
469.0,29.624627009583428
470.0,29.629650765933377
471.0,29.634697655844377
472.0,29.639767559371872
473.0,29.64486037844784
474.0,29.649975990963153
475.0,29.655114343820305
476.0,29.660275313587015
477.0,29.665458775604662
478.0,29.67066465163049
479.0,29.675892839323605
480.0,29.68114321160779
481.0,29.686415712850604
482.0,29.69171019049137
483.0,29.69702656370254
484.0,29.70236470238163
485.0,29.70772450004043
