T(K),Cp_Thiswork
200.0,29.126203147086308
201.0,29.126322706517847
202.0,29.12643998138327
203.0,29.126555361784703
204.0,29.126668673893725
205.0,29.126780295534296
206.0,29.126890321080154
207.0,29.12699857445319
208.0,29.127105415927172
209.0,29.127210668066063
210.0,29.12731467993497
211.0,29.127417530420328
212.0,29.12751904036418
213.0,29.12761954283141
214.0,29.12771910824429
215.0,29.12781755603458
216.0,29.127915204148234
217.0,29.12801187121763
218.0,29.12810810729431
219.0,29.128203244728418
220.0,29.12829806396242
221.0,29.128392140780566
222.0,29.128485765401564
223.0,29.128578754951434
224.0,29.12867139108741
225.0,29.128763718003604
226.0,29.128855552508522
227.0,29.128947164088448
228.0,29.129038591023427
229.0,29.129129650083648
230.0,29.12922059931134
231.0,29.129311471561508
232.0,29.129402083835338
233.0,29.129492683426115
234.0,29.129583298232067
235.0,29.129673954621126
236.0,29.129764470325142
237.0,29.1298548738988
238.0,29.12994559993237
239.0,29.130036259818116
240.0,29.13012707831529
241.0,29.13021787462442
242.0,29.130309064903624
243.0,29.130400073017434
244.0,29.13049150523517
245.0,29.13058298516235
246.0,29.130674720805246
247.0,29.130766723498656
248.0,29.13085881557332
249.0,29.13095119747291
250.0,29.131043877716742
251.0,29.131136680298205
252.0,29.13122998086162
253.0,29.131323238670678
254.0,29.131417005800323
255.0,29.131510926493608
256.0,29.13160518547768
257.0,29.131699785986186
258.0,29.131794556577553
259.0,29.131889675989214
260.0,29.131985145677035
261.0,29.13208096657919
262.0,29.132176970236436
263.0,29.132273328053365
264.0,29.132370039542945
265.0,29.132466938622443
266.0,29.132564191632035
267.0,29.132661796902237
268.0,29.13275975243308
269.0,29.132857895499864
270.0,29.132956386251998
271.0,29.13305522180122
272.0,29.133154242046118
273.0,29.133253602864194
274.0,29.133353300679275
275.0,29.133453331739062
276.0,29.133553539581044
277.0,29.13365407486448
278.0,29.133754933389056
279.0,29.13385611085272
280.0,29.13395745455231
281.0,29.134059110413226
282.0,29.13416107389647
283.0,29.134263195172345
284.0,29.134365616897618
285.0,29.134468334437102
286.0,29.134571343162246
287.0,29.134674497147692
288.0,29.13477807541064
289.0,29.134881652318636
290.0,29.134985644440736
291.0,29.13508976944701
292.0,29.1351942989776
293.0,29.135298818889247
294.0,29.135403734835926
295.0,29.13550877220743
296.0,29.135614195736522
297.0,29.135719602486542
298.0,29.13582538779348
299.0,29.135931284623798
300.0,29.136037421659026
301.0,29.13614379559126
302.0,29.1362504032764
303.0,29.136357114673018
304.0,29.136464055686922
305.0,29.13657122367829
306.0,29.13667861619426
307.0,29.136786107131286
308.0,29.136893819841752
309.0,29.137001752439552
310.0,29.137109781739078
311.0,29.13721815004157
312.0,29.137326613827717
313.0,29.137435293535
314.0,29.137544069826347
315.0,29.13765317978675
316.0,29.137762386757288
317.0,29.13787180902594
318.0,29.137981331036407
319.0,29.13809118492087
320.0,29.138201140695223
321.0,29.138311314641243
322.0,29.13842159490583
323.0,29.138532208906547
324.0,29.13864293314521
325.0,29.138753882021796
326.0,29.138864947301034
327.0,29.138976351901526
328.0,29.13908787862013
329.0,29.139199640083135
330.0,29.139311639065866
331.0,29.139423771730556
332.0,29.139536255648736
333.0,29.139648881222108
334.0,29.139761654020333
335.0,29.13987478853249
336.0,29.139988079573467
