T(K),Cp_Thiswork
200.0,29.122777710206712
201.0,29.12288373293188
202.0,29.122990321886988
203.0,29.123097477786317
204.0,29.123205201887902
205.0,29.1233134960248
206.0,29.12342236263549
207.0,29.123531804793565
208.0,29.12364182623658
209.0,29.123752431394124
210.0,29.123863603236103
211.0,29.123975392222768
212.0,29.124087760863887
213.0,29.12420076035948
214.0,29.124314355654498
215.0,29.124428577637236
216.0,29.12454345727471
217.0,29.124658963296962
218.0,29.124775128664705
219.0,29.124891966098453
220.0,29.12500948927029
221.0,29.12512771282303
222.0,29.125246652388768
223.0,29.125366324606638
224.0,29.125486747139956
225.0,29.12560793869264
226.0,29.12572989983775
227.0,29.12585268994747
228.0,29.125976311583692
229.0,29.126100769068156
230.0,29.126226124080684
231.0,29.126352364640763
232.0,29.12647955405147
233.0,29.12660768324735
234.0,29.126736817215818
235.0,29.126866949832042
236.0,29.12699813020265
237.0,29.127130408026225
238.0,29.127263781626887
239.0,29.127398303244412
240.0,29.12753400870623
241.0,29.127670935054162
242.0,29.127809120549976
243.0,29.127948621319675
244.0,29.12808944466749
245.0,29.12823164931668
246.0,29.128375278452708
247.0,29.1285203765001
248.0,29.128666973134273
249.0,29.12881514736912
250.0,29.128964931240034
251.0,29.12911637414345
252.0,29.12926952671996
253.0,29.129424440853754
254.0,29.12958115440794
255.0,29.129739752393135
256.0,29.12990027503471
257.0,29.13006276425483
258.0,29.130227308081032
259.0,29.13039393608638
260.0,29.130562738306665
261.0,29.13073374720188
262.0,29.130907054808745
263.0,29.13108269644318
264.0,29.13126076613153
265.0,29.131441302011197
266.0,29.131624386118787
267.0,29.13181008740353
268.0,29.131998489756523
269.0,29.132189636841712
270.0,29.132383614975765
271.0,29.13258049776125
272.0,29.132780359941666
273.0,29.132983277391695
274.0,29.133189327107072
275.0,29.13339858719405
276.0,29.133611123838037
277.0,29.133827043462325
278.0,29.134046414328353
279.0,29.134269306112255
280.0,29.13449582790667
281.0,29.134726038803002
282.0,29.134960049621732
283.0,29.1351979218296
284.0,29.135439755583704
285.0,29.135685639436026
286.0,29.135935662910533
287.0,29.13618991648869
288.0,29.1364484915947
289.0,29.13671148058043
290.0,29.13697897671016
291.0,29.13725106233391
292.0,29.137527856188377
293.0,29.13780943062914
294.0,29.13809590581601
295.0,29.13838735607188
296.0,29.138683891463646
297.0,29.13898561118979
298.0,29.13929261522995
299.0,29.13960499307118
300.0,29.139922868781092
301.0,29.14024632212842
302.0,29.140575467295477
303.0,29.140910418901363
304.0,29.141251259175274
305.0,29.14159809325051
306.0,29.141951048528732
307.0,29.142310220274524
308.0,29.1426757045904
309.0,29.143047619675738
310.0,29.143426073473215
311.0,29.143811174467736
312.0,29.14420302119151
313.0,29.144601744161314
314.0,29.145007432473804
315.0,29.145420207061854
316.0,29.145840168563932
317.0,29.146267448885013
318.0,29.146702139279654
319.0,29.14714436212637
320.0,29.14759422990554
321.0,29.14805185544294
322.0,29.148517341921007
323.0,29.14899081285793
324.0,29.149472372116726
325.0,29.149962153500383
326.0,29.15046025154919
327.0,29.150966790612614
328.0,29.151481875667322
329.0,29.152005631361327
330.0,29.152538172720067
331.0,29.153079614913793
332.0,29.15363006370016
333.0,29.154189644094707
334.0,29.15475846212026
335.0,29.15533664285958
336.0,29.155924301903184
337.0,29.156521545518324
338.0,29.157128498746278
339.0,29.157745277192227
340.0,29.15837198718413
341.0,29.159008744341143
342.0,29.15965567338263
343.0,29.1603128896581
344.0,29.160980499292798
345.0,29.16165862656943
346.0,29.162347377392617
347.0,29.163046875661216
348.0,29.16375722698084
349.0,29.16447855479383
350.0,29.165210964329347
351.0,29.165954578501477
352.0,29.166709502086512
353.0,29.16747585739955
354.0,29.16825374868871
355.0,29.169043288792572
356.0,29.16984459899653
357.0,29.17065778261684
358.0,29.171482951429994
359.0,29.172320225538897
360.0,29.17316970716532
361.0,29.174031506868143
362.0,29.174905743419217
363.0,29.17579251778772
364.0,29.176691939163895
365.0,29.177604124844503
366.0,29.178529165814602
367.0,29.179467186923265
368.0,29.180418295256878
369.0,29.181382580296372
370.0,29.182360165132906
371.0,29.183351138160873
372.0,29.18435562122832
373.0,29.18537371004836
374.0,29.186405508219615
375.0,29.187451118699315
376.0,29.1885106522207
377.0,29.189584193541833
378.0,29.190671852055843
379.0,29.191773736414387
380.0,29.1928899293544
381.0,29.19402054648513
382.0,29.195165669125302
383.0,29.196325403001545
384.0,29.19749984469187
