T(K),Cp_Thiswork
200.0,29.123043116213722
201.0,29.123166481829447
202.0,29.123291561066324
203.0,29.123418368935404
204.0,29.12354691399269
205.0,29.123677235761388
206.0,29.12380934847664
207.0,29.123943278685964
208.0,29.12407904684587
209.0,29.12421670333333
210.0,29.124356274298112
211.0,29.124497789108908
212.0,29.124641306293718
213.0,29.124786852318444
214.0,29.124934491126666
215.0,29.125084263639756
216.0,29.12523621393379
217.0,29.125390414018696
218.0,29.125546905351655
219.0,29.125705757144893
220.0,29.12586704110607
221.0,29.12603080749381
222.0,29.126197133610425
223.0,29.12636609921109
224.0,29.126537763171818
225.0,29.126712210718935
226.0,29.126889521836752
227.0,29.12706978673063
228.0,29.12725307543004
229.0,29.127439483417515
230.0,29.12762910110061
231.0,29.127822021426034
232.0,29.128018339851238
233.0,29.12821814710646
234.0,29.128421558057376
235.0,29.128628668246712
236.0,29.12883957583763
237.0,29.12905440251358
238.0,29.12927325106046
239.0,29.129496226775352
240.0,29.129723451058837
241.0,29.129955040551096
242.0,29.130191114076325
243.0,29.130431792606423
244.0,29.130677199224138
245.0,29.130927459085605
246.0,29.13118269938245
247.0,29.13144304283872
248.0,29.131708633578015
249.0,29.131979591782756
250.0,29.13225605886025
251.0,29.132538171592103
252.0,29.132826062323904
253.0,29.133119883906044
254.0,29.13341976596611
255.0,29.133725858465134
256.0,29.13403830676269
257.0,29.13435725780917
258.0,29.134682860103453
259.0,29.135015257709707
260.0,29.135354608115165
261.0,29.13570105834338
262.0,29.13605477442053
263.0,29.136415900255045
264.0,29.136784598594367
265.0,29.13716102185623
266.0,29.13754534083818
267.0,29.137937704640642
268.0,29.138338274975773
269.0,29.138747220198248
270.0,29.139164704012124
271.0,29.139590885596327
272.0,29.140025936150995
273.0,29.14047002219726
274.0,29.140923305694084
275.0,29.141385960297118
276.0,29.14185814959602
277.0,29.142340048666753
278.0,29.142831822552633
279.0,29.143333642310456
280.0,29.1438456848232
281.0,29.14436812219619
282.0,29.14490112185236
283.0,29.145444856939232
284.0,29.145999506153032
285.0,29.146565238243447
286.0,29.147142227475513
287.0,29.14773065346225
288.0,29.14833068589371
289.0,29.1489424997727
290.0,29.1495662702641
291.0,29.150202177623427
292.0,29.15085039220347
293.0,29.15151108941033
294.0,29.152184444648782
295.0,29.15287063328208
296.0,29.153569830592147
297.0,29.154282216588605
298.0,29.155007956556766
299.0,29.155747230166178
300.0,29.15650021677583
301.0,29.15726708106837
302.0,29.158048001831048
303.0,29.15884315268801
304.0,29.159652706875256
305.0,29.16047683720391
306.0,29.161315716023815
307.0,29.162169510502743
308.0,29.16303839667315
309.0,29.163922545285683
310.0,29.164822121843493
311.0,29.165737300527383
312.0,29.166668250176187
313.0,29.167615134315568
314.0,29.168578124973724
315.0,29.169557384189453
316.0,29.170553077817182
317.0,29.171565375441947
318.0,29.172594441185964
319.0,29.17364042917822
320.0,29.174703510850343
321.0,29.17578384754392
322.0,29.176881590566218
323.0,29.177996903819675
324.0,29.179129950131596
325.0,29.180280882222483
326.0,29.1814498562365
327.0,29.18263702269776
328.0,29.18384254445848
329.0,29.185066569702734
330.0,29.186309245428788
331.0,29.187570730842353
332.0,29.18885116598076
333.0,29.19015069856453
334.0,29.19146948393825
335.0,29.192807658250295
336.0,29.194165365239442
337.0,29.195542751730393
338.0,29.19693995869134
339.0,29.19835712122089
340.0,29.19979437744219
341.0,29.20125186847876
342.0,29.202729725067243
343.0,29.204228080906727
344.0,29.20574706818355
345.0,29.207286817553353
346.0,29.208847458123607
347.0,29.210429121900198
348.0,29.21203192591913
349.0,29.213655999004864
350.0,29.215301463907302
351.0,29.21696844174824
352.0,29.21865704752711
353.0,29.220367403537704
354.0,29.22209962144273
355.0,29.223853820189266
356.0,29.22563011254897
357.0,29.227428605081037
358.0,29.22924940711211
359.0,29.23109262623648
360.0,29.232958372829355
361.0,29.234846741948346
362.0,29.236757844984517
363.0,29.23869177797879
364.0,29.240648635161474
365.0,29.242628522627633
366.0,29.244631526459344
367.0,29.246657744604736
368.0,29.248707268647287
369.0,29.250780183754564
370.0,29.252876577840166
371.0,29.25499654622525
372.0,29.257140159332206
373.0,29.259307508818722
374.0,29.261498670631035
375.0,29.26371372348638
376.0,29.26595274425062
377.0,29.268215807935412
378.0,29.270502987695664
379.0,29.272814354827467
380.0,29.275149978766457
381.0,29.277509922348838
382.0,29.279894255996645
383.0,29.282303038792353
384.0,29.284736337457062
385.0,29.28719421211131
386.0,29.289676711397924
387.0,29.292183901270434
388.0,29.29471583142714
389.0,29.297272554500132
390.0,29.299854116395473
391.0,29.302460575754765
392.0,29.30509197479318
393.0,29.307748353813107
394.0,29.31042976107299
395.0,29.313136233154744
396.0,29.315867814670597
397.0,29.318624538497964
398.0,29.32140644061924
399.0,29.324213560213877
400.0,29.327045924637872
401.0,29.32990355936295
402.0,29.332786503207736
403.0,29.335694772961734
404.0,29.338628403925107
405.0,29.341587404100096
406.0,29.34457181039216
407.0,29.347581627136663
408.0,29.35061688782003
409.0,29.35367759313939
410.0,29.356763767964534
411.0,29.359875414576532
412.0,29.363012554456063
413.0,29.36617518634938
414.0,29.369363328386058
415.0,29.372576975813168
416.0,29.375816132731146
417.0,29.379080812317483
418.0,29.38237099923805
419.0,29.385686703355518
420.0,29.389027916715715
421.0,29.392394635102892
422.0,29.395786852670142
423.0,29.399204561950516
424.0,29.402647753868436
425.0,29.406116417751235
426.0,29.409610535756016
427.0,29.413130093980513
428.0,29.416675088224494
429.0,29.42024548464812
430.0,29.423841270307584
431.0,29.427462430829593
432.0,29.431108933239358
433.0,29.434780765879957
434.0,29.438477892692106
435.0,29.442200293353046
436.0,29.44594793452267
437.0,29.449720793018535
438.0,29.453518832567696
439.0,29.45734202718205
440.0,29.461190331780013
441.0,29.465063723500457
442.0,29.468962154384492
443.0,29.472885592919603
444.0,29.476834000311193
445.0,29.4808073364258
446.0,29.484805553719745
447.0,29.488828609344687
448.0,29.492876465293314
449.0,29.496949063887037
450.0,29.501046370732276
451.0,29.505168325520756
452.0,29.509314891471874
453.0,29.513486005704394
454.0,29.517681616509098
455.0,29.52190167730722
456.0,29.526146134092322
457.0,29.530414918925555
458.0,29.53470798813472
459.0,29.53902527781658
460.0,29.54336672283304
461.0,29.547732276305517
462.0,29.552121857876088
463.0,29.556535425068123
464.0,29.56097290178713
465.0,29.5654342238742
466.0,29.56991932613357
467.0,29.574428142347173
468.0,29.57896061198049
469.0,29.583516653460485
470.0,29.588096204252366
471.0,29.59269918741728
472.0,29.597325538563553
473.0,29.60197517880966
474.0,29.606648035101557
475.0,29.611344040370803
476.0,29.616063106008067
477.0,29.62080516314544
478.0,29.62557013518767
479.0,29.63035794468972
480.0,29.635168506333034
481.0,29.640001740927886
482.0,29.64485757557349
483.0,29.64973592244081
484.0,29.654636692803827
485.0,29.659559818606986
486.0,29.664505202421488
487.0,29.669472767575257
488.0,29.67446242951617
489.0,29.679474095678295
490.0,29.68450768001192
491.0,29.689563095782937
492.0,29.694640255586158
493.0,29.699739071358557
494.0,29.70485945439254
495.0,29.710001315349007
496.0,29.715164556760246
497.0,29.72034908797393
498.0,29.72555482531476
499.0,29.730781661848123
500.0,29.736029520350748
501.0,29.741298300306
502.0,29.746587900535864
503.0,29.751898234650426
504.0,29.75722920036479
505.0,29.762580710325707
506.0,29.767952661190215
507.0,29.773344956852664
508.0,29.778757500738088
509.0,29.78419019581419
510.0,29.78964294460289
511.0,29.79511564123535
512.0,29.80060819527411
513.0,29.80612049995718
514.0,29.811652456049814
515.0,29.81720397200433
516.0,29.822774931698476
517.0,29.828365242811103
518.0,29.833974804619707
519.0,29.83960350786286
520.0,29.84525125927434
521.0,29.85091794887633
522.0,29.85660347454285
523.0,29.862307742158087
524.0,29.868030632406153
525.0,29.873772050567876
526.0,29.879531893369244
527.0,29.885310048844264
528.0,29.89110641311715
529.0,29.896920890559247
530.0,29.90275336839013
531.0,29.908603742037037
532.0,29.91447190671398
533.0,29.920357757431
534.0,29.9262611803686
535.0,29.932182078733646
536.0,29.938120338286602
537.0,29.94407585322686
538.0,29.950048517595313
539.0,29.956038234063364
540.0,29.962044878850136
541.0,29.96806835432493
542.0,29.974108545115527
543.0,29.980165353409316
544.0,29.986238663554204
545.0,29.992328368636684
546.0,29.99843437063313
547.0,30.004556544523908
548.0,30.010694792099173
549.0,30.016849006129945
550.0,30.023019070233893
551.0,30.029204876986224
552.0,30.035406328068493
553.0,30.041623306881334
554.0,30.047855705890115
555.0,30.0541034175383
556.0,30.06036633425454
557.0,30.06664433916999
558.0,30.072937324621712
559.0,30.079245192298373
560.0,30.08556782526709
561.0,30.091905125304816
562.0,30.09825696604232
563.0,30.104623249289233
564.0,30.11100385804001
565.0,30.11739870375461
566.0,30.123807650480753
567.0,30.130230609817097
568.0,30.136667464872808
569.0,30.143118108337603
570.0,30.14958243297866
571.0,30.15606033164649
572.0,30.162551687583917
573.0,30.16905640346974
574.0,30.175574362689662
575.0,30.18210546818291
576.0,30.188649593698933
577.0,30.19520665220945
578.0,30.201776517600244
579.0,30.208359093319075
580.0,30.21495427314528
581.0,30.221561941065403
582.0,30.22818200102293
583.0,30.234814327264232
584.0,30.241458834020705
585.0,30.24811540578522
586.0,30.254783927114097
587.0,30.261464302801237
588.0,30.268156427806538
589.0,30.274860187134657
590.0,30.281575476033748
591.0,30.28830220012491
592.0,30.295040234695755
593.0,30.301789495967093
594.0,30.308549859528256
595.0,30.3153212318255
596.0,30.322103499001713
597.0,30.32889656797869
598.0,30.335700325285835
599.0,30.34251466795888
600.0,30.349339493261667
601.0,30.356174698690218
602.0,30.363020181977028
603.0,30.36987583062173
604.0,30.376741553266683
605.0,30.383617237857003
606.0,30.390502783039537
607.0,30.397398087716535
608.0,30.404303061638338
609.0,30.411217583076034
610.0,30.418141562286724
611.0,30.42507488857553
612.0,30.432017472789347
613.0,30.43896921544062
614.0,30.44592999587503
615.0,30.452899736527257
616.0,30.459878317225698
617.0,30.46686565028201
618.0,30.47386163757801
619.0,30.480866181292377
620.0,30.487879173049187
621.0,30.49490051556546
622.0,30.5019301227615
623.0,30.508967876197218
624.0,30.516013690393155
625.0,30.52306748026883
626.0,30.530129128202127
627.0,30.537198538728326
628.0,30.544275627727792
629.0,30.551360289404254
630.0,30.55845244033385
631.0,30.565551964255228
632.0,30.5726587783887
633.0,30.579772800371348
634.0,30.586893914828742
635.0,30.594022028894223
636.0,30.601157061226203
637.0,30.608298908503997
638.0,30.615447478896986
639.0,30.62260269216476
640.0,30.629764434717607
641.0,30.63693262700124
642.0,30.64410717859623
643.0,30.651287988125475
644.0,30.658474977164737
645.0,30.665668045020453
646.0,30.672867114030346
647.0,30.680072072802915
648.0,30.68728284438933
649.0,30.694499352281404
650.0,30.701721486083837
651.0,30.708949158551505
652.0,30.716182294289794
653.0,30.72342079535842
654.0,30.7306645871478
655.0,30.73791357243502
656.0,30.74516765430647
657.0,30.752426770851116
658.0,30.75969081435186
659.0,30.766959712130173
660.0,30.77423336872997
661.0,30.781511712271985
662.0,30.788794648035186
663.0,30.79608209328113
664.0,30.803373965657556
665.0,30.81067018319931
666.0,30.81797066432891
667.0,30.82527531613205
668.0,30.8325840812426
669.0,30.839896844028246
670.0,30.847213547918187
671.0,30.854534101495112
672.0,30.86185842547342
673.0,30.869186440958526
674.0,30.876518069447535
675.0,30.88385322098415
676.0,30.891191829664532
677.0,30.898533818160807
678.0,30.905879097649283
679.0,30.91322759154317
680.0,30.92057923556378
681.0,30.927933930091317
682.0,30.93529162355981
683.0,30.942652217077793
684.0,30.95001564794684
685.0,30.957381829947046
686.0,30.96475070118852
687.0,30.97212217620584
688.0,30.979496181893953
689.0,30.98687265757183
690.0,30.994251506855967
691.0,31.00163266983028
692.0,31.009016087015922
693.0,31.016401651033505
694.0,31.02378932732148
695.0,31.03117900919969
696.0,31.038570650829556
697.0,31.04596417045618
698.0,31.05335951094791
699.0,31.060756579136655
700.0,31.068155318643015
701.0,31.07555566133619
702.0,31.082957527276967
703.0,31.090360861257665
704.0,31.09776559628215
705.0,31.105171641291
706.0,31.112578954436664
707.0,31.119987457606967
708.0,31.12739708527255
709.0,31.13480777227535
710.0,31.142219441556733
