200		68.822	
250		84.315	
298.15		96.960	
300		97.398	
350		107.968	
400		116.373	
450		123.040	
500		128.351	
600		136.069	
700		141.228	
800		144.808	
900		147.375	
1000		149.272	
1100		150.709	
1200		151.822	
1300		152.700	
1400		153.404	
1500		153.978	
1600		154.450	
1700		154.844	
1800		155.176	
1900		155.458	
2000		155.700	
2100		155.908	
2200		156.089	
2300		156.248	
2400		156.387	
2500		156.510	
2600		156.620	
2700		156.717	
2800		156.805	
2900		156.883	
3000		156.954	
3100		157.019	
3200		157.077	
3300		157.130	
3400		157.179	
3500		157.224	
3600		157.264	
3700		157.302	
3800		157.337	
3900		157.369	
4000		157.399	
4100		157.426	
4200		157.452	
4300		157.476	
4400		157.498	
4500		157.519	
4600		157.539	
4700		157.557	
4800		157.574	
4900		157.590	
5000		157.605	
5100		157.620	
5200		157.633	
5300		157.646	
5400		157.658	
5500		157.669	
5600		157.680	
5700		157.690	
5800		157.700	
5900		157.709	
6000		157.718	
