200		48.910
250		53.388
298.15		56.746
300		56.859
350		59.585
400		61.799
450		63.677
500		65.332
600		68.218
700		70.704
800		72.861
900		74.717
1000		76.302
1100		77.650
1200		78.795
1300		79.769
1400		80.598
1500		81.308
1600		81.918
1700		82.445
1800		82.901
1900		83.299
2000		83.648
2100		83.954
2200		84.225
2300		84.465
2400		84.679
2500		84.870
2600		85.041
2700		85.195
2800		85.335
2900		85.461
3000		85.576
3100		85.680
3200		85.775
3300		85.863
3400		85.943
3500		86.016
3600		86.084
3700		86.147
3800		86.205
3900		86.259
4000		86.309
4100		86.356
4200		86.399
4300		86.439
4400		86.477
4500		86.513
4600		86.546
4700		86.577
4800		86.606
4900		86.634
5000		86.660
5100		86.684
5200		86.707
5300		86.729
5400		86.750
5500		86.769
5600		86.788
5700		86.805
5800		86.822
5900		86.838
6000		86.853
