200		42.777	
250		48.357	
298.15		53.370	
300		53.551	
350		58.068	
400		61.860	
450		64.994	
500		67.568	
600		71.430	
700		74.090	
800		75.971	
900		77.340	
1000		78.360	
1100		79.138	
1200		79.744	
1300		80.224	
1400		80.611	
1500		80.926	
1600		81.186	
1700		81.404	
1800		81.587	
1900		81.744	
2000		81.877	
2100		81.993	
2200		82.094	
2300		82.182	
2400		82.259	
2500		82.328	
2600		82.389	
2700		82.443	
2800		82.492	
2900		82.535	
3000		82.575	
3100		82.611	
3200		82.643	
3300		82.673	
3400		82.700	
3500		82.725	
3600		82.748	
3700		82.769	
3800		82.788	
3900		82.806	
4000		82.823	
4100		82.838	
4200		82.852	
4300		82.866	
4400		82.878	
4500		82.890	
4600		82.901	
4700		82.911	
4800		82.921	
4900		82.930	
5000		82.938	
5100		82.946	
5200		82.954	
5300		82.961	
5400		82.967	
5500		82.974	
5600		82.980	
5700		82.985	
5800		82.991	
5900		82.996	
6000		83.001	
