Molecule,Tmin,Tmax,a1,a2,a3,a4,a5,a6,a7
HCL,1000.0,6000.0,898460.5849455273,-2890.871430656461,6.335518157699592,-0.0007167437455783179,2.0250963200836188e-07,-2.7624423012263687e-11,1.3194150813399538e-15
CLONO2,298.15,1000.0,-2197127.3602902903,20748.96996979791,-74.71847417862644,0.17410175308866518,-0.00018389360470835603,1.0013305634003292e-07,-2.2155684902586618e-11
CLONO2,1000.0,5000.0,-246765.67461260446,-1533.4874419581618,14.114380561286312,-0.00040619804704090316,1.0017093458281536e-07,-1.2180603170811612e-11,6.054572703458252e-16
C4H2,298.15,1000.0,268011.60631257476,-4203.029175463166,25.353286178343016,-0.02673854949331542,3.458485341817256e-05,-2.0738628603448167e-08,4.866604953061699e-12
C4H2,1000.0,5000.0,2651217.4458400332,-9761.100236874161,21.981404629856993,-0.0017835579123720532,3.41915900878582e-07,-3.564824335151269e-11,1.5584704037075595e-15
NO2,298.15,1000.0,-82329.9998316739,1296.3386344666826,-4.169562437311484,0.023923215107098113,-2.536761232163842e-05,1.3804254557994323e-08,-3.080660352339287e-12
O3,298.15,1000.0,159261.02656658192,-1401.1304469119991,6.671740096670787,0.005182771237663634,-7.84246014297022e-06,5.099636114830581e-09,-1.2651192909727859e-12
HBr,298.15,1000.0,18127.4211904008,-344.9247383438332,5.847719321241176,-0.007445278912237031,1.1357220736365772e-05,-7.330090804048848e-09,1.7858874014565163e-12
HBr,1000.0,6000.0,1248554.8423220164,-3986.3048786095765,7.745395684587165,-0.0014658099762333422,3.9875408599387473e-07,-5.1052898212255657e-11,2.318959177220633e-15
O2,298.15,1000.0,-86567.325614883,1287.4425800242582,-3.7026210664751775,0.018658188619712548,-2.2442439887487668e-05,1.3092798249766983e-08,-3.0176867797468777e-12
O2,1000.0,6000.0,-1938912.7745389906,5141.004815736901,-0.9597186923055097,0.001817514260604347,-3.0365865513351923e-07,2.4564613717571954e-11,-8.339884732605378e-16
PH3,298.15,1000.0,50129.52448211724,-311.6247699636218,3.4387066697808484,0.004342068474239532,3.90629778488761e-06,-5.084800557900296e-09,1.5310775733006992e-12
PH3,1000.0,4500.0,49004098.246881045,-126811.71506230877,123.02084120533243,-0.04297278079937047,6.1335130260301385e-06,-1.4858921453425523e-10,-2.5681244205976575e-14
CS2,298.15,1000.0,-140385.1373370561,1370.4206479963048,-0.2438246937073562,0.013877145863066053,-1.260425743702814e-05,5.88803748382922e-09,-1.1236223768192474e-12
CS2,1000.0,5000.0,118250.15916593677,-1336.9630405013786,8.743549911345722,-0.0007200793989620625,2.6001067519474904e-07,-4.588951920753171e-11,2.754853392322783e-15
CS,298.15,1000.0,-29470.646591976594,607.0243004735677,-0.6602907584424206,0.011932819011715093,-1.3620123117396656e-05,7.920149735931132e-09,-1.8742076244839615e-12
CS,1000.0,5000.0,68327.34044132143,-705.5760725666356,5.136267411543935,-0.0002932360225603827,8.195483968268769e-08,-1.143756395348748e-11,6.438919495322213e-16
COF2,298.15,1000.0,127260.91813388543,-1309.3334314011688,6.65789951384697,0.009168860765680572,-9.471395097431166e-06,4.809801002720458e-09,-9.94135968072508e-13
COF2,1000.0,3500.0,231237.29311406397,-2858.959754336481,12.544849754044497,-0.001251919120079599,3.8067679268550265e-07,-6.113072417697811e-11,4.1041117707017904e-15
HO2,298.15,1000.0,28240.949364673408,168.00954193487405,0.5175340911588995,0.013143190125245298,-1.5194486933258812e-05,9.439071127973922e-09,-2.3859521404568528e-12
HO2,1000.0,5000.0,1016138.0296364762,-3660.7457045544597,8.782458796389903,-0.000491827849176393,7.79922518979512e-08,-6.575672538615443e-12,2.25853526922135e-16
COCL2,298.15,1000.0,12222.5916153132,-660.666660102497,7.944496823043977,0.0047694395313902255,-4.204103082150718e-06,1.7743445976085209e-09,-2.900979144186834e-13
COCL2,1000.0,5000.0,-51361.564673321445,-1259.7751588187539,10.905116541245027,-0.00032054573759662585,8.070277397237339e-08,-9.866766214714304e-12,4.934018643039113e-16
SO2,298.15,1000.0,-33360.6959983474,686.4741912097322,-1.359757279447849,0.01981707710134031,-2.2444273405790684e-05,1.277946304670544e-08,-2.938412154282883e-12
SO2,1000.0,5000.0,-120738.77606390884,-811.0557773123058,7.632219180622328,-0.0002507987837159959,6.520994481371281e-08,-8.37868940607256e-12,4.4058357991699053e-16
SO3,298.15,1000.0,-515482.16421157744,5981.798685921109,-25.699769733022627,0.08392683432861973,-0.00010172202184737849,6.280860152052174e-08,-1.5702415727419137e-11
SO3,1000.0,3500.0,1128577.5162743046,-6487.578787601235,18.620866400434753,-0.005529869469355519,1.5612226153129193e-06,-2.2916244149045518e-10,1.3888861066821606e-14
HC3N,298.15,1000.0,-14694.259708503268,-674.4551581818693,9.2952486635209,0.003194626135145579,-2.573445839581252e-07,-2.3649478699791523e-10,-2.3467651171027947e-14
HC3N,1000.0,5000.0,1583710.4024084716,-6583.148412311494,17.31822669255091,-0.0012533628400882826,2.4369527008842986e-07,-2.6637579133976818e-11,1.1745242628996634e-15
HNO3,298.15,1000.0,177413.07264475367,-1708.117285611934,7.204680879613846,0.014041905555006519,-1.5835020441859333e-05,9.216622944345836e-09,-2.1816864414276245e-12
HNO3,1000.0,3500.0,669015.7052498987,-4284.918373736257,14.85373174178546,-0.00032666995247259854,-4.807104861211402e-09,1.1217757215127084e-11,-1.1800994318823991e-15
N2,298.15,1000.0,-17554.36215842153,52.70652275220301,4.174082592353176,-0.0042266690516181505,8.582009434461936e-06,-6.3070293889219225e-09,1.6751037855865878e-12
N2,1000.0,6000.0,1110917.3939938338,-3115.208253836692,6.267218446951402,-0.00027735991446280563,-5.1806017123770284e-08,1.1411021876371663e-11,-6.397763565916146e-16
CF4,298.15,1000.0,163444.25219426336,-1653.0633150485617,6.877274583117154,0.02027668555493247,-2.519709446993574e-05,1.492902189834266e-08,-3.5054379540158355e-12
CF4,1000.0,3010.0,-177690.093080827,-2200.791893878765,15.073520808239964,-0.0010864413610102463,3.3272530634213694e-07,-5.4279425202096395e-11,3.680681347093603e-15
OCS,298.15,1000.0,31252.541027023402,-720.6243780812373,7.0505851331050335,-0.0005877341988486325,2.894512176042124e-06,-2.611482962769681e-09,7.605038580943748e-13
OCS,1000.0,5000.0,132789.03997920375,-1591.9359543179876,8.58507705483086,-0.0003890607007944635,8.892543649493295e-08,-1.0298200325402118e-11,4.917996073657078e-16
HOBr,298.15,1000.0,63921.314696948335,-604.6986981958722,5.10048987431174,0.004359543566529571,-6.577444517720681e-06,5.001332236168572e-09,-1.4210204060573733e-12
HOBr,1000.0,5000.0,1136425.167648953,-3467.4943932959327,8.574623643417464,-0.00037762961146071684,6.657902332648924e-08,-6.399901715784043e-12,2.799805535605296e-16
CH3I,298.15,1000.0,114719.29409964381,-780.2218215895435,3.1376973145236104,0.015352092427704377,-1.4739462713185232e-05,8.930873295700778e-09,-2.366754318580737e-12
CH3I,1000.0,5000.0,2669525.6541874073,-10372.841781223842,18.972363076464234,-0.0019644195659211127,3.846275916941228e-07,-4.059759852943088e-11,1.8055642300010067e-15
GeH4,298.15,1000.0,-26535.521786514357,283.8294593383264,1.9354332541151587,0.007518458527841444,-2.9517821024076125e-06,-4.249398179869664e-10,4.202689304149026e-13
GeH4,1000.0,5000.0,510148.9962214402,-3377.823662091577,10.30613980148502,-0.0008559806546389766,1.9157094410096e-07,-2.2369675202996535e-11,1.0797648767676443e-15
CH3OH,298.15,1000.0,44367.59909762012,741.7694939855506,-5.781820128589045,0.037032646987327326,-3.629990331904705e-05,2.0488715375101345e-08,-4.9533216656283404e-12
CH3OH,1000.0,3500.0,3216863.9759883885,-12820.198469858391,22.165012903606524,-0.0014057677673942164,1.0380929845814269e-07,1.7185839778012806e-11,-2.6657691275383273e-15
NH3,298.15,1000.0,-19348.27320837346,681.1653201101132,-1.5035932163329588,0.016570320110591886,-1.6460397356633313e-05,1.011935090930236e-08,-2.6491540159407747e-12
NH3,1000.0,6000.0,35263049.75597515,-85863.44478733075,79.77729181769135,-0.025864985544638654,4.174812236663021e-06,-3.2200757892184936e-10,9.213173365922934e-15
H2,298.15,1000.0,-203156.77474272533,2044.1962990632314,-5.129068279792065,0.019451375362731036,-2.4397538173860257e-05,1.609510541505846e-08,-4.260185350524477e-12
H2,1000.0,6000.0,850130.0887213991,-942.9180040278602,2.689665221375839,0.001304696597500951,-3.142154515959751e-07,4.117498833504263e-11,-2.318658927477312e-15
CH3CN,298.15,1000.0,-37540.98354260467,1255.3640931841599,-6.290425345890721,0.03963668049297555,-4.043218946275491e-05,2.3561963328143278e-08,-5.8513176780566885e-12
CH3CN,1000.0,5000.0,2959822.5273125027,-12487.634793252928,23.45441759096118,-0.0025400659168657016,5.086144572551808e-07,-5.506353142387973e-11,2.495513660147684e-15
SO,298.15,1000.0,28851.510912113856,-63.49272552260567,2.1871354173595714,0.006385748207568408,-7.733621223450936e-06,4.597706402888638e-09,-1.0924322256069594e-12
SO,1000.0,5000.0,-80953.07724245,-228.9749607986848,4.665985483456121,-5.9548551541168476e-05,1.4744554908995542e-08,-1.7097229014459739e-12,8.265352468321004e-17
H2O2,298.15,1000.0,161835.07555961897,-1554.4774687087001,9.16731486719308,-0.003102616667188512,2.297399624793564e-06,6.201198301648817e-10,-1.035794523340645e-12
H2O2,1000.0,6000.0,-14884678.496769495,27678.017863252437,-7.9278528329917695,0.001426093405300403,9.138040986009636e-08,-4.055321715835687e-11,2.763097208607291e-15
H2S,298.15,1000.0,22242.152634420137,-235.98978922951528,4.965172462890873,-0.002855516606741534,7.597291366189609e-06,-5.142111074765758e-09,1.178654743571178e-12
H2S,1000.0,4000.0,-8799694.277151346,26082.55257467359,-27.40882301878437,0.02108496015623078,-6.221084785862922e-06,7.993536846786554e-10,-3.634427219782679e-14
CH3CL,298.15,1000.0,170956.54994958747,-1067.9767353401428,3.0497375382434195,0.01522726954361753,-1.369632208480787e-05,7.844837335199595e-09,-2.0236112765899122e-12
CH3CL,1000.0,5000.0,2643085.2392088277,-10639.141660987623,19.197970012242298,-0.002062095374426886,4.0752167487224967e-07,-4.3371479481564974e-11,1.9431953821240874e-15
HF,298.15,1000.0,6330.023920859605,-43.97147853323619,3.5073573028038028,0.0006777041006866741,-2.076360154404315e-06,2.349231755973936e-09,-7.919218929136637e-13
HF,1000.0,6000.0,1629845.082360428,-3839.4319276153346,6.249899294273986,-0.0005037261040838516,1.1494777338689086e-07,-1.2322253762058248e-11,4.2267642736240787e-16
